Revision date	Number of HPO-terms	Number of terms with E/Q definition	Number of terms with textual definition	Number of HPO subclass relations	Number of annotated diseases	Number of annotations	Number of annotations with frequency	Number of negative annotations	Number of annotations with onset	Number of obsolete HPO-terms	Number of terms with xref-tag	Average number of annotations per disease
01-2009	8765	53	89	9308	4821	45508	0	0	0	1	0	9.4395
10-2009	9505	2632	1611	11255	4804	51254	1187	0	0	35	8355	10.6690
11-2009	9527	3023	1826	11332	4804	50456	1214	0	0	35	8332	10.5029
12-2009	9520	3376	1839	11337	4804	50455	1214	0	0	36	8325	10.5027
02-2009	9123	314	659	10087	4821	45489	0	0	0	35	0	9.4356
03-2009	9002	849	956	10034	4813	49663	0	0	0	35	0	10.3185
04-2009	8990	801	1002	10162	4813	50260	0	0	0	35	0	10.4426
05-2009	8950	815	1080	10130	4813	50162	0	0	0	35	0	10.4222
06-2009	9227	815	1154	10675	4813	50203	0	0	0	35	0	10.4307
07-2009	9229	815	1164	10714	4813	51330	1187	0	0	35	8391	10.6649
08-2009	9425	815	1271	11224	4804	51252	1187	0	0	35	8377	10.6686
09-2009	9425	815	1271	11224	4804	51252	1187	0	0	35	8377	10.6686
01-2010	9510	3651	2050	11344	4804	50442	1213	0	0	36	8298	10.5000
10-2010	9789	3632	2641	12444	5017	56266	2449	168	96	37	9312	11.2151
11-2010	9800	3631	2643	12470	5017	56266	2449	168	96	37	9311	11.2151
12-2010	9950	3632	2659	12789	5017	56249	2448	168	96	37	9307	11.2117
02-2010	9508	3623	2050	11344	4804	50442	1213	0	0	36	8296	10.5000
03-2010	9513	3718	2108	11437	4804	50439	1213	0	0	36	8273	10.4994
04-2010	9532	3738	2228	11455	4804	50432	1213	0	0	36	8256	10.4979
05-2010	9572	3749	2305	11564	4804	51299	1999	0	15	37	8233	10.6784
06-2010	9547	3744	2323	11650	4804	51202	1989	0	15	37	8173	10.6582
07-2010	9697	3744	2404	12248	5017	56341	2158	169	82	37	9388	11.2300
08-2010	9766	3621	2500	12384	5017	56344	2451	169	96	37	9374	11.2306
09-2010	9804	3628	2612	12436	5017	56310	2451	169	96	37	9348	11.2238
01-2011	10138	3726	2801	13173	5017	56135	2447	168	95	42	9276	11.1890
10-2011	10163	4761	3915	13447	5035	56488	3581	168	154	43	8966	11.2191
11-2011	10179	4761	3930	13466	5035	56487	3581	168	154	43	8958	11.2189
12-2011	10206	4786	4008	13585	5035	56318	3582	168	154	43	8921	11.1853
02-2011	10164	3788	2934	13203	5027	56396	3043	169	132	42	9261	11.2186
03-2011	10096	4032	3338	13115	5027	56302	3041	169	132	43	9162	11.1999
04-2011	10056	4225	3776	13196	5027	56096	3035	168	132	43	9042	11.1589
05-2011	10061	4210	3778	13203	5027	56090	3035	168	132	43	9041	11.1577
06-2011	10021	4654	3787	13178	5027	56049	3031	168	132	43	8994	11.1496
07-2011	10166	4757	3910	13449	5035	56489	3581	168	154	43	8969	11.2193
08-2011	10164	4760	3912	13447	5035	56489	3581	168	154	43	8967	11.2193
09-2011	10164	4761	3915	13447	5035	56489	3581	168	154	43	8967	11.2193
01-2012	10206	4835	4281	13666	5038	56597	3902	168	155	44	8783	11.2340
10-2012	9898	4577	6401	13146	6263	112702	60847	192	174	44	3952	17.9949
11-2012	9899	4577	6401	13149	6642	102631	43882	197	178	44	3952	15.4518
12-2012	9903	4672	6401	13091	6684	104903	45041	213	228	44	3952	15.6946
02-2012	10127	4835	4430	13587	5038	56633	3925	168	156	44	3981	11.2412
03-2012	10110	4834	4623	13557	5038	56610	3924	168	156	44	3955	11.2366
04-2012	9912	4834	4859	13310	5038	56421	3914	168	156	44	3856	11.1991
05-2012	9985	4834	5425	13345	5040	55017	3145	153	89	44	3798	10.9161
06-2012	9835	4834	5665	13129	5040	54977	3143	153	89	44	3818	10.9081
07-2012	9752	4834	6076	12999	5040	54942	3139	153	89	44	3913	10.9012
08-2012	9795	4834	6244	13042	5040	54902	3138	153	88	44	3940	10.8933
09-2012	9851	4834	6334	13100	5040	54901	3139	153	88	44	3944	10.8931
01-2013	9903	4672	6401	13091	6691	105011	45069	213	229	44	3952	15.6944
02-2013	9907	4672	6406	13097	6835	106253	45525	222	259	44	3950	15.5454
03-2013	9942	4672	6446	13134	6936	106680	45414	229	289	44	3958	15.3806
04-2013	9956	4672	6475	13147	7026	106924	45415	237	305	44	3955	15.2183
05-2013	9999	4671	6603	13188	7229	108518	45743	252	344	44	3956	15.0115
06-2013	10012	4592	6603	13208	7278	109338	46078	289	344	44	3956	15.0231
07-2013	10088	4592	6603	13326	7354	110301	46149	303	361	44	3956	14.9988
08-2013	10088	4591	6603	13326	7361	110480	46183	303	363	44	3956	15.0088
